Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
25-174_R1_001	25-174_R1_001_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	36239946.0	0.0	20-150	43.0	21.670583877542775	148.28491206912946	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	fail
25-174_R2_001	25-174_R2_001_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	35987351.0	0.0	20-150	43.0	21.40149823865485	142.91895860853998	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
25-175_R1_001	25-175_R1_001_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	37713977.0	0.0	20-150	42.0	20.85676595840192	148.43866869304185	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	warn
25-175_R2_001	25-175_R2_001_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	37682180.0	0.0	20-150	42.0	20.81668078099005	145.55025391312287	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
25-177_R1_001	25-177_R1_001_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	43793052.0	0.0	20-150	41.0	19.033695138233508	148.45947181301727	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	warn
25-177_R2_001	25-177_R2_001_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	43736823.0	0.0	20-150	41.0	19.37154368309165	145.8728430274874	pass	pass	fail	pass	fail	fail	pass	warn	fail	warn	pass
25-179_R1_001	25-179_R1_001_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	42313261.0	0.0	20-150	45.0	20.96559727138676	148.0148374524951	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
25-179_R2_001	25-179_R2_001_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	42058233.0	0.0	20-150	45.0	21.595725970327432	138.75302043716388	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
25-180_R1_001	25-180_R1_001_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	54512323.0	0.0	20-150	45.0	16.977970027800875	148.05634144411715	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
25-180_R2_001	25-180_R2_001_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	54235649.0	0.0	20-150	46.0	18.49528974599888	136.54427911427777	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
25-185_R1_001	25-185_R1_001_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	27001344.0	0.0	20-150	44.0	26.023787328428018	148.34574112310852	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	fail
25-185_R2_001	25-185_R2_001_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	26942295.0	0.0	20-150	44.0	25.612811284414526	144.64568638269307	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
25-186_R1_001	25-186_R1_001_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	25992208.0	0.0	20-150	45.0	26.017757060968588	148.33275345441987	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	fail
25-186_R2_001	25-186_R2_001_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	25727803.0	0.0	20-150	44.0	25.95633136633115	144.34403190198557	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
25-193_R1_001	25-193_R1_001_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	27463748.0	0.0	20-150	40.0	14.502930832884745	148.26954798740508	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
25-193_R2_001	25-193_R2_001_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	27424070.0	0.0	20-150	39.0	15.671985158887397	140.789376595086	pass	pass	fail	pass	fail	warn	pass	warn	fail	fail	pass
25-194_R1_001	25-194_R1_001_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	30767769.0	0.0	20-150	42.0	19.685902965384177	148.374951007985	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	fail
25-194_R2_001	25-194_R2_001_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	30721421.0	0.0	20-150	42.0	21.278448515794537	142.82702072928203	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
25-195_R1_001	25-195_R1_001_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	34083291.0	0.0	20-150	45.0	23.5613200597736	148.11943089650586	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	fail
25-195_R2_001	25-195_R2_001_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	34045237.0	0.0	20-150	45.0	22.279558383692507	141.76387995184172	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
25-202_R1_001	25-202_R1_001_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	49247834.0	0.0	20-150	40.0	17.00268901563734	147.9839377301345	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	fail
25-202_R2_001	25-202_R2_001_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	49201047.0	0.0	20-150	40.0	16.908615419837485	138.64752809020507	pass	pass	fail	pass	fail	warn	pass	warn	fail	fail	pass
25-203_R1_001	25-203_R1_001_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	35893743.0	0.0	20-150	42.0	20.863373796883792	148.34916135661862	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	fail
25-203_R2_001	25-203_R2_001_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	35782756.0	0.0	20-150	42.0	22.470149060855977	143.31913846993785	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
5-002_R1_001	5-002_R1_001_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	43638810.0	0.0	20-150	42.0	21.677363041316237	148.396505037603	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	warn
5-002_R2_001	5-002_R2_001_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	43610386.0	0.0	20-150	42.0	21.147356459669492	145.05628475748873	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
5-003_R1_001	5-003_R1_001_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	46712410.0	0.0	20-150	41.0	17.49128854665194	148.25313264719162	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	fail
5-003_R2_001	5-003_R2_001_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	46659666.0	0.0	20-150	40.0	17.340383705005646	142.42621708865212	pass	pass	fail	pass	fail	fail	pass	warn	fail	warn	pass
5-004_R1_001	5-004_R1_001_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	52045719.0	0.0	20-150	42.0	18.82723631562959	148.03032431927784	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	fail
5-004_R2_001	5-004_R2_001_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	51984881.0	0.0	20-150	42.0	18.389668964533726	139.69084436299855	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
5-005_R1_001	5-005_R1_001_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	44362623.0	0.0	20-150	37.0	15.155031897075574	148.5169536075448	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	warn
5-005_R2_001	5-005_R2_001_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	44327840.0	0.0	20-150	37.0	15.204802049859815	146.2373771426715	pass	pass	fail	pass	fail	warn	pass	warn	fail	warn	pass
5-006_R1_001	5-006_R1_001_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	33639451.0	0.0	20-150	41.0	21.351438743888494	148.08206929417486	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	fail
5-006_R2_001	5-006_R2_001_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	33517215.0	0.0	20-150	41.0	21.836842867251768	141.21520925888382	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
5-007_R1_001	5-007_R1_001_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	30362051.0	0.0	20-150	41.0	19.752037267598368	148.41622757961903	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	fail
5-007_R2_001	5-007_R2_001_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	30091193.0	0.0	20-150	40.0	19.61319458660104	144.7311626361906	pass	pass	fail	pass	fail	fail	pass	warn	fail	warn	pass
